ability_id,ability_short_effect_markup,ability_short_effect_html
57,Increases {Special Attack;STAT;SPATK} to 1.5x when a friendly Pokémon has {Plus;ABILITY;plus} or {Minus;ABILITY;minus}.,"Increases <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> to 1.5x when a friendly Pokémon has <a href=""/abilities/plus"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Plus</span></a> or <a href=""/abilities/minus"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Minus</span></a>."
58,Increases {Special Attack;STAT;SPATK} to 1.5x when a friendly Pokémon has {Plus;ABILITY;plus} or {Minus;ABILITY;minus}.,"Increases <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> to 1.5x when a friendly Pokémon has <a href=""/abilities/plus"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Plus</span></a> or <a href=""/abilities/minus"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Minus</span></a>."
59,Changes {Castform;POKEMON;castform}'s type and form to match the {weather;WEATHER;WEATHER}.,"Changes <a href=""/pokemon/castform"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Castform</span><img src=""https://cdn.pokedb.org/46ce49c20a49498f1a4b58cc420b5c50eaaf174cce916b577678fe2dc0edb54bw40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Castform"" style=""width: 20px; height: 20px""></a>'s type and form to match the <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">weather</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/weather_weather.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
60,Prevents a held item from being removed by other Pokémon.,Prevents a held item from being removed by other Pokémon.
61,Has a 33% chance of curing any {major status effect;STATUS;-} after each turn.,"Has a 33% chance of curing any <a href=""/status_conditions"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>major status effect</span></a> after each turn."
62,Increases {Attack;STAT;ATTACK} to 1.5x with a {major status effect;STATUS;-}.,"Increases <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> to 1.5x with a <a href=""/status_conditions"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>major status effect</span></a>."
63,Increases {Defense;STAT;DEFENSE} to 1.5x with a {major status effect;STATUS;-}.,"Increases <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Defense</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_defense.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> to 1.5x with a <a href=""/status_conditions"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>major status effect</span></a>."
64,Damages opponents using leeching moves for as much as they would heal.,Damages opponents using leeching moves for as much as they would heal.
65,"Strengthens {GRASS;TYPE;Grass} moves to inflict 1.5x damage at <span style=""font-size: 1.3rem"">⅓</span> max {HP;STAT;HP} or less.","Strengthens <span style=""background-color: #5D9D3C; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Grass"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/d1c40533dc3440c6de38570b0296777064cdacdc3df3f9f6bdf4f236a7c15be8"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Grass""><span style=""color: rgb(255, 255, 255);"">Grass</span></a></span> moves to inflict 1.5x damage at <span style=""font-size: 1.3rem"">⅓</span> max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> or less."
66,"Strengthens {FIRE;TYPE;Fire} moves to inflict 1.5x damage at <span style=""font-size: 1.3rem"">⅓</span> max {HP;STAT;HP} or less.","Strengthens <span style=""background-color: #D33A30; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fire"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9c6764b6f9ae28be9d1df74f41fdda5e49f048c1f5fdabdfc844755bff0c4731"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fire""><span style=""color: rgb(255, 255, 255);"">Fire</span></a></span> moves to inflict 1.5x damage at <span style=""font-size: 1.3rem"">⅓</span> max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> or less."
67,"Strengthens {WATER;TYPE;Water} moves to inflict 1.5x damage at <span style=""font-size: 1.3rem"">⅓</span> max {HP;STAT;HP} or less.","Strengthens <span style=""background-color: #4D79BC; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Water"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/53ac01b352ec9dea6c9db4c7f8b99b914098bcf6c63d262280fa3d5e7096a090"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Water""><span style=""color: rgb(255, 255, 255);"">Water</span></a></span> moves to inflict 1.5x damage at <span style=""font-size: 1.3rem"">⅓</span> max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> or less."
68,"Strengthens {BUG;TYPE;Bug} moves to inflict 1.5x damage at <span style=""font-size: 1.3rem"">⅓</span> max {HP;STAT;HP} or less.","Strengthens <span style=""background-color: #95A235; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Bug"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/53409a157ce97a970830367f1d5933a7f1b3d074d005a4808161c275b5580fc2"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Bug""><span style=""color: rgb(255, 255, 255);"">Bug</span></a></span> moves to inflict 1.5x damage at <span style=""font-size: 1.3rem"">⅓</span> max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> or less."
69,Protects against recoil damage.,Protects against recoil damage.
70,Summons {harsh sunlight;WEATHER;HARSHSUNLIGHT} that lasts indefinitely upon entering battle.,"Summons <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">harsh sunlight</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_harshsunlight_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> that lasts indefinitely upon entering battle."
71,Prevents opponents from fleeing or switching out. Eluded by {FLYING;TYPE;Flying}-types and Pokémon in the air.,"Prevents opponents from fleeing or switching out. Eluded by <span style=""background-color: #8FB8E5; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Flying"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/fab0a4d3718b88e4477c37e89ef56d1eb8b5ebcc591c4a13f2047cc3d7288b3a"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Flying""><span style=""color: rgb(255, 255, 255);"">Flying</span></a></span>-types and Pokémon in the air."
72,Prevents {sleep;STATUS;sleep}.,"Prevents <a href=""/status_conditions/sleep"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>sleep</span><img src=""https://cdn.pokedb.org/95b032e0772eeebe541ef305048f404e8f387a32869b148f0bb17c26c0b18343"" width=""20"" height=""20"" alt=""Status Condition Icon for Sleep"" style=""width: 20px; height: 20px""></a>."
73,Prevents stats from being lowered by other Pokémon.,Prevents stats from being lowered by other Pokémon.
74,Doubles {Attack;STAT;ATTACK} in battle.,"Doubles <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> in battle."
75,Protects against {critical hits;STAT;CRIT}.,"Protects against <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">critical hits</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/stat_crit.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
76,"Negates all effects of {weather;WEATHER;WEATHER}, but does not prevent the weather itself.","Negates all effects of <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">weather</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/weather_weather.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, but does not prevent the weather itself."
77,Doubles {evasion;STAT;EVASION} when {confused;STATUS;confusion}.,"Doubles <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">evasion</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_evasion_up.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when <a href=""/status_conditions/confusion"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>confused</span><img src=""https://cdn.pokedb.org/f162481dfa0d44b10562d008124e021314440a2180a1d25e8fe414ad8c2b1b0d"" width=""20"" height=""20"" alt=""Status Condition Icon for Confusion"" style=""width: 20px; height: 20px""></a>."
78,"Absorbs {ELECTRIC;TYPE;Electric} moves, raising {Speed;STAT;SPEED} one stage.","Absorbs <span style=""background-color: #F2C341; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Electric"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/652e5db0527f39b3f770fc1dd661ebdefdc2b5f2c26a4625fba0a87ce835bd20"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Electric""><span style=""color: rgb(255, 255, 255);"">Electric</span></a></span> moves, raising <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> one stage."
79,"Increases damage inflicted to 1.25x against Pokémon of the same gender, but decreases damage to 0.75x against the opposite gender.","Increases damage inflicted to 1.25x against Pokémon of the same gender, but decreases damage to 0.75x against the opposite gender."
80,Raises {Speed;STAT;SPEED} one stage upon {flinching;STATUS;flinch}.,"Raises <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> one stage upon <a href=""/status_conditions/"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>flinching</span><img src=""https://cdn.pokedb.org/0bf204778d94c12da1796a7b742f74dff77a5a7ad6d8a83ed6c19b1260d354fc"" width=""20"" height=""20"" alt=""Status Condition Icon for Flinch"" style=""width: 20px; height: 20px""></a>."
81,Increases evasion to 1.25x during {hail;WEATHER;HAIL}. Protects against hail damage.,"Increases evasion to 1.25x during <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">hail</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_blizzard_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>. Protects against hail damage."
